,quadrant,color,type,time_stamp
23,4,raw_umber,entry,2.97
0,1,burnt_sienna,entry,5.83
15,3,msu_green,entry,9.27
7,2,msu_green,entry,9.3
8,2,msu_green,exit,18.23
16,3,burnt_sienna,exit,20.87
9,2,dim_gray,entry,23.53
1,1,raw_umber,entry,26.97
24,4,raw_umber,exit,29.67
17,3,msu_green,entry,33.0
2,1,burnt_sienna,exit,41.87
25,4,msu_green,exit,44.2
26,4,raw_umber,entry,49.73
18,3,raw_umber,exit,52.3
10,2,dim_gray,exit,55.0
3,1,dim_gray,entry,59.93
19,3,burnt_sienna,exit,63.9
11,2,msu_green,exit,64.97
27,4,raw_umber,exit,66.57
28,4,burnt_sienna,entry,73.9
4,1,msu_green,entry,76.1
20,3,raw_umber,exit,77.53
12,2,burnt_sienna,entry,77.63
21,3,raw_umber,exit,84.17
5,1,msu_green,exit,85.03
13,2,burnt_sienna,exit,86.0
22,3,burnt_sienna,entry,90.0
6,1,burnt_sienna,entry,94.47
14,2,msu_green,entry,98.27
29,4,raw_umber,entry,100.53
