frame_no,quadrant,color,box
89,4,raw_umber,"[1034, 191, 1175, 326]"
90,4,raw_umber,"[1035, 189, 1174, 325]"
91,4,raw_umber,"[1033, 191, 1171, 327]"
92,4,raw_umber,"[1030, 191, 1171, 327]"
93,4,raw_umber,"[1031, 191, 1170, 327]"
94,4,raw_umber,"[1031, 192, 1170, 326]"
95,4,raw_umber,"[1033, 191, 1170, 326]"
96,4,raw_umber,"[1032, 192, 1170, 326]"
97,4,raw_umber,"[1032, 192, 1170, 326]"
98,4,raw_umber,"[1033, 192, 1170, 325]"
99,4,raw_umber,"[1033, 192, 1171, 325]"
100,4,raw_umber,"[1032, 192, 1170, 325]"
101,4,raw_umber,"[1033, 192, 1171, 326]"
102,4,raw_umber,"[1032, 192, 1170, 325]"
103,4,raw_umber,"[1031, 191, 1170, 326]"
104,4,raw_umber,"[1031, 192, 1170, 326]"
105,4,raw_umber,"[1032, 192, 1171, 326]"
106,4,raw_umber,"[1033, 191, 1170, 326]"
107,4,raw_umber,"[1032, 191, 1170, 325]"
108,4,raw_umber,"[1031, 191, 1170, 326]"
109,4,raw_umber,"[1032, 192, 1169, 326]"
110,4,raw_umber,"[1032, 191, 1170, 325]"
111,4,raw_umber,"[1031, 191, 1169, 325]"
112,4,raw_umber,"[1033, 192, 1170, 325]"
113,4,raw_umber,"[1031, 191, 1169, 326]"
115,4,raw_umber,"[1032, 191, 1169, 326]"
116,4,raw_umber,"[1032, 192, 1169, 325]"
117,4,raw_umber,"[1032, 191, 1169, 326]"
118,4,raw_umber,"[1033, 192, 1170, 325]"
119,4,raw_umber,"[1032, 191, 1169, 325]"
120,4,raw_umber,"[1032, 192, 1170, 325]"
121,4,raw_umber,"[1032, 191, 1170, 326]"
122,4,raw_umber,"[1032, 191, 1170, 325]"
123,4,raw_umber,"[1032, 192, 1170, 326]"
124,4,raw_umber,"[1033, 191, 1170, 326]"
125,4,raw_umber,"[1033, 192, 1170, 326]"
126,4,raw_umber,"[1033, 192, 1170, 325]"
127,4,raw_umber,"[1033, 192, 1170, 326]"
128,4,raw_umber,"[1033, 192, 1170, 326]"
129,4,raw_umber,"[1033, 191, 1170, 326]"
130,4,raw_umber,"[1033, 192, 1170, 326]"
131,4,raw_umber,"[1033, 192, 1170, 327]"
132,4,raw_umber,"[1032, 192, 1170, 326]"
133,4,raw_umber,"[1031, 192, 1171, 326]"
134,4,raw_umber,"[1030, 191, 1171, 325]"
135,4,raw_umber,"[1030, 192, 1171, 326]"
136,4,raw_umber,"[1030, 192, 1171, 327]"
137,4,raw_umber,"[1032, 192, 1171, 326]"
138,4,raw_umber,"[1032, 191, 1171, 325]"
139,4,raw_umber,"[1031, 191, 1171, 326]"
140,4,raw_umber,"[1033, 191, 1170, 326]"
141,4,raw_umber,"[1032, 192, 1170, 326]"
142,4,raw_umber,"[1032, 192, 1170, 326]"
143,4,raw_umber,"[1033, 192, 1170, 326]"
144,4,raw_umber,"[1032, 192, 1171, 326]"
145,4,raw_umber,"[1030, 191, 1171, 327]"
146,4,raw_umber,"[1032, 192, 1171, 326]"
147,4,raw_umber,"[1031, 192, 1172, 326]"
148,4,raw_umber,"[1032, 191, 1171, 326]"
149,4,raw_umber,"[1032, 191, 1171, 326]"
150,4,raw_umber,"[1033, 192, 1171, 326]"
151,4,raw_umber,"[1033, 191, 1171, 326]"
152,4,raw_umber,"[1031, 192, 1171, 328]"
153,4,raw_umber,"[1031, 191, 1171, 326]"
154,4,raw_umber,"[1032, 193, 1172, 326]"
155,4,raw_umber,"[1033, 192, 1172, 325]"
156,4,raw_umber,"[1033, 191, 1172, 326]"
157,4,raw_umber,"[1031, 191, 1172, 325]"
158,4,raw_umber,"[1032, 191, 1172, 325]"
159,4,raw_umber,"[1032, 191, 1172, 325]"
160,4,raw_umber,"[1033, 191, 1172, 325]"
161,4,raw_umber,"[1033, 191, 1172, 325]"
162,4,raw_umber,"[1032, 192, 1171, 325]"
163,4,raw_umber,"[1032, 191, 1171, 326]"
164,4,raw_umber,"[1032, 191, 1172, 325]"
165,4,raw_umber,"[1033, 191, 1172, 325]"
166,4,raw_umber,"[1032, 191, 1171, 326]"
167,4,raw_umber,"[1032, 191, 1171, 326]"
168,4,raw_umber,"[1032, 191, 1171, 325]"
169,4,raw_umber,"[1032, 191, 1171, 326]"
170,4,raw_umber,"[1033, 192, 1171, 326]"
171,4,raw_umber,"[1032, 191, 1171, 327]"
172,4,raw_umber,"[1032, 191, 1171, 326]"
173,4,raw_umber,"[1032, 192, 1171, 327]"
174,4,raw_umber,"[1032, 192, 1171, 328]"
175,1,burnt_sienna,"[993, 677, 1115, 807]"
175,4,raw_umber,"[1032, 191, 1171, 328]"
176,1,burnt_sienna,"[999, 673, 1119, 803]"
176,4,raw_umber,"[1033, 192, 1170, 326]"
177,1,dim_gray,"[1001, 671, 1125, 802]"
177,4,raw_umber,"[1033, 191, 1170, 327]"
178,1,dim_gray,"[1008, 670, 1131, 800]"
178,4,raw_umber,"[1034, 192, 1169, 327]"
179,4,raw_umber,"[1032, 192, 1170, 327]"
180,4,raw_umber,"[1034, 191, 1170, 326]"
181,4,raw_umber,"[1033, 190, 1170, 326]"
182,4,raw_umber,"[1033, 190, 1170, 327]"
183,1,burnt_sienna,"[1042, 654, 1168, 781]"
183,4,raw_umber,"[1032, 191, 1171, 326]"
184,1,dim_gray,"[1049, 650, 1177, 778]"
184,4,raw_umber,"[1032, 191, 1169, 326]"
185,1,burnt_sienna,"[1053, 646, 1186, 778]"
185,4,raw_umber,"[1032, 191, 1170, 327]"
186,1,dim_gray,"[1059, 646, 1192, 778]"
186,4,raw_umber,"[1033, 191, 1171, 326]"
187,1,burnt_sienna,"[1068, 646, 1196, 779]"
187,4,raw_umber,"[1033, 191, 1171, 327]"
188,1,dim_gray,"[1076, 648, 1202, 780]"
188,4,raw_umber,"[1033, 191, 1171, 327]"
189,1,burnt_sienna,"[1082, 651, 1209, 780]"
189,4,raw_umber,"[1033, 191, 1171, 327]"
190,1,burnt_sienna,"[1089, 654, 1211, 781]"
190,4,raw_umber,"[1033, 191, 1170, 326]"
191,1,dim_gray,"[1096, 657, 1217, 783]"
191,4,raw_umber,"[1033, 192, 1171, 327]"
192,1,burnt_sienna,"[1098, 660, 1223, 789]"
192,4,raw_umber,"[1033, 191, 1171, 327]"
193,1,burnt_sienna,"[1102, 662, 1229, 792]"
193,4,raw_umber,"[1031, 191, 1171, 327]"
194,1,burnt_sienna,"[1107, 667, 1234, 795]"
194,4,raw_umber,"[1033, 191, 1170, 326]"
195,1,burnt_sienna,"[1110, 675, 1236, 803]"
195,4,raw_umber,"[1031, 192, 1170, 327]"
196,4,raw_umber,"[1032, 191, 1170, 327]"
197,1,burnt_sienna,"[1115, 688, 1239, 815]"
197,4,raw_umber,"[1033, 192, 1170, 327]"
198,1,dim_gray,"[1120, 692, 1240, 820]"
198,4,raw_umber,"[1033, 191, 1170, 326]"
199,4,raw_umber,"[1033, 192, 1170, 327]"
200,4,raw_umber,"[1032, 191, 1170, 327]"
201,4,raw_umber,"[1033, 192, 1170, 327]"
202,4,raw_umber,"[1033, 192, 1170, 326]"
203,4,raw_umber,"[1033, 191, 1170, 327]"
204,4,raw_umber,"[1032, 191, 1170, 327]"
205,4,raw_umber,"[1031, 192, 1170, 327]"
206,4,raw_umber,"[1032, 192, 1170, 327]"
207,4,raw_umber,"[1032, 192, 1170, 327]"
208,1,dim_gray,"[1110, 732, 1235, 860]"
208,4,raw_umber,"[1032, 192, 1170, 327]"
209,1,burnt_sienna,"[1103, 733, 1228, 862]"
209,4,raw_umber,"[1032, 191, 1170, 327]"
210,1,burnt_sienna,"[1098, 737, 1221, 863]"
210,4,raw_umber,"[1033, 191, 1170, 328]"
211,1,burnt_sienna,"[1094, 739, 1214, 863]"
211,4,raw_umber,"[1034, 192, 1170, 327]"
212,1,dim_gray,"[1087, 740, 1208, 866]"
212,4,raw_umber,"[1033, 191, 1170, 327]"
213,1,dim_gray,"[1078, 738, 1203, 869]"
213,4,raw_umber,"[1033, 191, 1171, 327]"
214,1,burnt_sienna,"[1072, 738, 1197, 871]"
214,4,raw_umber,"[1033, 191, 1171, 327]"
215,1,dim_gray,"[1065, 739, 1191, 873]"
215,4,raw_umber,"[1033, 191, 1171, 326]"
216,1,burnt_sienna,"[1056, 739, 1185, 870]"
216,4,raw_umber,"[1034, 191, 1171, 327]"
217,4,raw_umber,"[1034, 191, 1169, 327]"
218,1,burnt_sienna,"[1040, 740, 1167, 866]"
218,4,raw_umber,"[1034, 191, 1170, 327]"
219,1,burnt_sienna,"[1031, 739, 1163, 866]"
219,4,raw_umber,"[1034, 191, 1170, 327]"
220,4,raw_umber,"[1034, 191, 1169, 327]"
